1 16516 16494 16514 16522 16520 16505 16518 16523 1
2 16494 16456 16488 16514 16505 16471 16497 16518 1
3 16456 16400 16447 16488 16471 16420 16461 16497 1
4 16400 16326 16387 16447 16420 16354 16406 16461 1
5 16326 16236 16313 16387 16354 16266 16336 16406 1
6 16236 16127 16221 16313 16266 16167 16253 16336 1
7 16127 16004 16117 16221 16167 16050 16153 16253 1
8 16004 15858 15994 16117 16050 15913 16035 16153 1
9 15858 15694 15852 15994 15913 15757 15903 16035 1
10 15694 15518 15686 15852 15757 15585 15750 15903 1
11 15518 15313 15520 15686 15585 15401 15587 15750 1
12 15313 15091 15319 15520 15401 15191 15408 15587 1
13 15091 14831 15114 15319 15191 14941 15207 15408 1
14 14831 14546 14858 15114 14941 14667 14969 15207 1
15 14546 14243 14593 14858 14667 14374 14716 14969 1
16 14243 13948 14302 14593 14374 14092 14433 14716 1
17 13948 13668 14025 14302 14092 13796 14162 14433 1
18 13668 13386 13747 14025 13796 13537 13890 14162 1
19 13386 13108 13487 13747 13537 13268 13632 13890 1
20 13108 12842 13227 13487 13268 12997 13364 13632 1
21 12842 12588 12980 13227 12997 12731 13126 13364 1
22 12588 12330 12719 12980 12731 12488 12875 13126 1
23 12330 12086 12504 12719 12488 12253 12661 12875 1
24 12086 11850 12266 12504 12253 12014 12414 12661 1
25 11850 11617 12045 12266 12014 11792 12217 12414 1
26 11617 11394 11835 12045 11792 11579 12004 12217 1
27 11394 11200 11649 11835 11579 11358 11809 12004 1
28 11200 10994 11455 11649 11358 11169 11623 11809 1
29 10994 10804 11280 11455 11169 10991 11452 11623 1
30 10804 10632 11115 11280 10991 10812 11285 11452 1
31 10632 10451 10957 11115 10812 10657 11145 11285 1
32 10451 10317 10818 10957 10657 10510 11008 11145 1
33 10317 10170 10698 10818 10510 10375 10882 11008 1
34 10170 10050 10579 10698 10375 10249 10777 10882 1
35 10050 9957 10488 10579 10249 10158 10684 10777 1
36 9957 9852 10413 10488 10158 10082 10598 10684 1
37 9852 9793 10353 10413 10082 10020 10554 10598 1
38 9793 9746 10293 10353 10020 9972 10503 10554 1
39 9746 9694 10266 10293 9972 9938 10477 10503 1
40 9694 9681 10253 10266 9938 9910 10466 10477 1
41 16503 16469 16494 16516 16511 16482 16505 16520 1
42 16469 16416 16456 16494 16482 16436 16471 16505 1
43 16416 16342 16400 16456 16436 16370 16420 16471 1
44 16342 16255 16326 16400 16370 16285 16354 16420 1
45 16255 16147 16236 16326 16285 16187 16266 16354 1
46 16147 16024 16127 16236 16187 16069 16167 16266 1
47 16024 15875 16004 16127 16069 15931 16050 16167 1
48 15875 15715 15858 16004 15931 15776 15913 16050 1
49 15715 15532 15694 15858 15776 15599 15757 15913 1
50 15532 15321 15518 15694 15599 15407 15585 15757 1
51 15321 15093 15313 15518 15407 15192 15401 15585 1
52 15093 14812 15091 15313 15192 14932 15191 15401 1
53 14812 14514 14831 15091 14932 14645 14941 15191 1
54 14514 14206 14546 14831 14645 14341 14667 14941 1
55 14206 13916 14243 14546 14341 14047 14374 14667 1
56 13916 13611 13948 14243 14047 13739 14092 14374 1
57 13611 13311 13668 13948 13739 13450 13796 14092 1
58 13311 13029 13386 13668 13450 13171 13537 13796 1
59 13029 12730 13108 13386 13171 12881 13268 13537 1
60 12730 12459 12842 13108 12881 12625 12997 13268 1
61 12459 12196 12588 12842 12625 12352 12731 12997 1
62 12196 11925 12330 12588 12352 12096 12488 12731 1
63 11925 11679 12086 12330 12096 11837 12253 12488 1
64 11679 11416 11850 12086 11837 11597 12014 12253 1
65 11416 11184 11617 11850 11597 11340 11792 12014 1
66 11184 10943 11394 11617 11340 11132 11579 11792 1
67 10943 10727 11200 11394 11132 10907 11358 11579 1
68 10727 10520 10994 11200 10907 10709 11169 11358 1
69 10520 10313 10804 10994 10709 10508 10991 11169 1
70 10313 10121 10632 10804 10508 10327 10812 10991 1
71 10121 9935 10451 10632 10327 10139 10657 10812 1
72 9935 9772 10317 10451 10139 10005 10510 10657 1
73 9772 9627 10170 10317 10005 9841 10375 10510 1
74 9627 9494 10050 10170 9841 9706 10249 10375 1
75 9494 9380 9957 10050 9706 9612 10158 10249 1
76 9380 9278 9852 9957 9612 9519 10082 10158 1
77 9278 9206 9793 9852 9519 9452 10020 10082 1
78 9206 9155 9746 9793 9452 9406 9972 10020 1
79 9155 9131 9694 9746 9406 9364 9938 9972 1
80 9131 9108 9681 9694 9364 9346 9910 9938 1
81 16483 16434 16469 16503 16492 16451 16482 16511 1
82 16434 16368 16416 16469 16451 16388 16436 16482 1
83 16368 16280 16342 16416 16388 16310 16370 16436 1
84 16280 16175 16255 16342 16310 16210 16285 16370 1
85 16175 16052 16147 16255 16210 16093 16187 16285 1
86 16052 15909 16024 16147 16093 15962 16069 16187 1
87 15909 15742 15875 16024 15962 15799 15931 16069 1
88 15742 15558 15715 15875 15799 15626 15776 15931 1
89 15558 15350 15532 15715 15626 15428 15599 15776 1
90 15350 15113 15321 15532 15428 15204 15407 15599 1
91 15113 14835 15093 15321 15204 14943 15192 15407 1
92 14835 14518 14812 15093 14943 14650 14932 15192 1
93 14518 14195 14514 14812 14650 14334 14645 14932 1
94 14195 13874 14206 14514 14334 14017 14341 14645 1
95 13874 13571 13916 14206 14017 13716 14047 14341 1
96 13571 13267 13611 13916 13716 13402 13739 14047 1
97 13267 12957 13311 13611 13402 13104 13450 13739 1
98 12957 12667 13029 13311 13104 12805 13171 13450 1
99 12667 12365 12730 13029 12805 12528 12881 13171 1
100 12365 12074 12459 12730 12528 12240 12625 12881 1
101 12074 11806 12196 12459 12240 11965 12352 12625 1
102 11806 11534 11925 12196 11965 11699 12096 12352 1
103 11534 11252 11679 11925 11699 11436 11837 12096 1
104 11252 10989 11416 11679 11436 11171 11597 11837 1
105 10989 10742 11184 11416 11171 10923 11340 11597 1
106 10742 10489 10943 11184 10923 10683 11132 11340 1
107 10489 10240 10727 10943 10683 10446 10907 11132 1
108 10240 10023 10520 10727 10446 10221 10709 10907 1
109 10023 9790 10313 10520 10221 10021 10508 10709 1
110 9790 9584 10121 10313 10021 9811 10327 10508 1
111 9584 9397 9935 10121 9811 9636 10139 10327 1
112 9397 9210 9772 9935 9636 9451 10005 10139 1
113 9210 9036 9627 9772 9451 9289 9841 10005 1
114 9036 8922 9494 9627 9289 9156 9706 9841 1
115 8922 8806 9380 9494 9156 9027 9612 9706 1
116 8806 8702 9278 9380 9027 8942 9519 9612 1
117 8702 8645 9206 9278 8942 8877 9452 9519 1
118 8645 8587 9155 9206 8877 8826 9406 9452 1
119 8587 8557 9131 9155 8826 8792 9364 9406 1
120 8557 8549 9108 9131 8792 8777 9346 9364 1
121 16452 16390 16434 16483 16463 16408 16451 16492 1
122 16390 16308 16368 16434 16408 16333 16388 16451 1
123 16308 16208 16280 16368 16333 16239 16310 16388 1
124 16208 16084 16175 16280 16239 16123 16210 16310 1
125 16084 15943 16052 16175 16123 15990 16093 16210 1
126 15943 15781 15909 16052 15990 15838 15962 16093 1
127 15781 15589 15742 15909 15838 15661 15799 15962 1
128 15589 15383 15558 15742 15661 15458 15626 15799 1
129 15383 15143 15350 15558 15458 15231 15428 15626 1
130 15143 14854 15113 15350 15231 14970 15204 15428 1
131 14854 14552 14835 15113 14970 14672 14943 15204 1
132 14552 14209 14518 14835 14672 14347 14650 14943 1
133 14209 13875 14195 14518 14347 14019 14334 14650 1
134 13875 13555 13874 14195 14019 13700 14017 14334 1
135 13555 13244 13571 13874 13700 13372 13716 14017 1
136 13244 12914 13267 13571 13372 13073 13402 13716 1
